epsilon,success_rate
0.0,0.0
0.01,0.00041300980898296334
0.02,0.0009292720702116675
0.03,0.0019617965926690757
0.04,0.00371708828084667
0.05,0.006298399586990191
0.06,0.00991223541559112
0.07,0.015384615384615385
0.08,0.020547237996902428
0.09,0.02612287041817243
0.1,0.035002581311306145
0.11,0.046153846153846156
0.12,0.05926690758905524
0.13,0.07299948373773878
0.14,0.09106866288074342
0.15,0.10944759938048529
0.16,0.13391843056272587
0.17,0.16086732059886422
0.18,0.19050077439339183
0.19,0.22385131646876613
0.2,0.2635002581311306
0.21,0.301600413009809
0.22,0.33618998451213217
0.23,0.3718120805369127
0.24,0.40671140939597317
0.25,0.4356220960247806
0.26,0.4661848218895199
0.27,0.49344346928239546
0.28,0.5170882808466701
0.29,0.5395973154362416
0.3,0.5613835828600929
0.31,0.5803820340733092
0.32,0.5959731543624162
0.33,0.6110480123902943
0.34,0.6241610738255033
0.35000000000000003,0.6405782137325762
0.36,0.6515229736706247
0.37,0.662157976251936
0.38,0.6712441920495612
0.39,0.6813629323696437
0.4,0.6893133711925659
0.41000000000000003,0.698812596799174
0.42,0.7061435209086215
0.43,0.7139907072792979
0.44,0.7218378936499742
0.45,0.7297883324728962
0.46,0.7367062467733608
0.47000000000000003,0.7422818791946308
0.48,0.7501290655653072
0.49,0.7547754259163655
