epsilon,success_rate
0.0,0.0
0.01,0.009602478058853899
0.02,0.020443985544656686
0.03,0.03231801755291688
0.04,0.04883840991223542
0.05,0.06721734641197728
0.06,0.08869385647909138
0.07,0.11574599896747548
0.08,0.14723799690242642
0.09,0.17986577181208055
0.1,0.22096024780588538
0.11,0.26566855962829117
0.12,0.3143004646360351
0.13,0.3671657201858544
0.14,0.4230252968508002
0.15,0.47651006711409394
0.16,0.5284460505937016
0.17,0.586060918946825
0.18,0.6375838926174496
0.19,0.6835312338668044
0.2,0.7307176045431079
0.21,0.7692307692307693
0.22,0.802787816210635
0.23,0.8335570469798658
0.24,0.8635002581311306
0.25,0.887661331956634
0.26,0.9061435209086216
0.27,0.9213216313887455
0.28,0.9334021683014971
0.29,0.9440371708828085
0.3,0.9531233866804336
0.31,0.9611770779556015
0.32,0.9662364481156428
0.33,0.9719153329891584
0.34,0.9766649457924625
0.35000000000000003,0.980898296334538
0.36,0.9839958699019101
0.37,0.9872999483737739
0.38,0.9899845121321631
0.39,0.9914300464636036
0.4,0.9922560660815695
0.41000000000000003,0.9935983479607641
0.42,0.9945276200309757
0.43,0.9953536396489416
0.44,0.9960764068146618
0.45,0.9966959215281362
0.46,0.997212183789365
0.47000000000000003,0.9978316985028395
0.48,0.9983479607640682
0.49,0.9987609705730511
